"y","x","effectSize","sampleSize","country","key","location","author","crop","intercrops","duration","climate","soil"
39.03,-76.88,-0.264,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.121,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.072,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,0.03,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.435,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.354,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.309,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,0.082,"4","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.511,"4","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.458,"4","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,0.132,"4","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,0.094,"4","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,0.186,"4","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.046,"4","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.19,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.146,"4","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.048,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,-0.225,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
39.03,-76.88,0.276,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Acrisols"
43.3,-89.35,-0.103,"10","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Dry","Phaeozems"
42.65,-88.48,-0.171,"5","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Dry","Phaeozems"
42.65,-88.48,0.296,"5","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"4 year","Cool Temperate and Dry","Phaeozems"
42.65,-88.48,0.219,"5","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"4 year","Cool Temperate and Dry","Phaeozems"
42.65,-88.48,0.206,"5","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"4 year","Cool Temperate and Dry","Phaeozems"
-36.35,140.9,-0.273,"2","Australia",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"less than 1 year","Warm Temperate and Moist","Solonetz"
43.3,-89.35,-0.099,"10","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Dry","Phaeozems"
43.3,-89.35,-0.131,"10","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Dry","Phaeozems"
42.65,-88.48,-0.149,"7","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"more than 4 year","Cool Temperate and Dry","Phaeozems"
42.65,-88.48,-0.064,"5","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Dry","Phaeozems"
43.3,-89.35,-0.096,"12","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"more than 4 year","Cool Temperate and Dry","Phaeozems"
42.65,-88.48,-0.127,"5","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Dry","Phaeozems"
47.65,-117.42,-0.082,"5","United States",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"4 year","Cool Temperate and Dry","Kastanozems"
-34.37,146.9,-0.57,"4","Australia",9,"Reported","10.1098/rspb.2014.1396","wheat",NA,"2 year","Warm Temperate and Xeric","Luvisols"
56.48,13,-0.53,"2","Sweden",9,"Reported","10.1098/rspb.2014.1396","oat",NA,"less than 1 year","Cold and Mesic","Cambisols"
38.53,-121.78,-0.009,"3","United States",9,"Reported","10.1098/rspb.2014.1396","tomato",NA,"less than 1 year","Warm Temperate and Xeric","Luvisols"
41.31,-94.46,-0.084,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"3 year","Cool Temperate and Moist","Chernozems"
41.31,-94.46,-0.04,"4","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"3 year","Cool Temperate and Moist","Chernozems"
44.02,-97.12,-0.051,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Dry","Kastanozems"
44.02,-97.12,-0.218,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"more than 4 year","Cool Temperate and Dry","Kastanozems"
40.52,-75.77,0.039,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.082,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.794,"4","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"more than 4 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.211,"5","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"4 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.269,"3","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"4 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.091,"3","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"4 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.292,"3","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"4 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.051,"14","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"3 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.158,"14","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"3 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.048,"14","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"3 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.256,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.002,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.146,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.152,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.177,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.069,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.121,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.03,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.067,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.1,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.056,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.043,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.328,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.123,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.106,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.061,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.246,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.296,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.286,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.012,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.201,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.603,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.328,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.411,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.372,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.618,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.056,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.171,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.227,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.155,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.105,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.043,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.083,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.02,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.12,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.3,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.165,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.441,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.397,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.1,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.009,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.006,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.035,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.145,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.175,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.167,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.164,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.156,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.172,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.29,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.019,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.004,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.089,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.062,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.106,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.184,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.053,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.044,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.225,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.254,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.143,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.533,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,0.957,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.557,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.615,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.12,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.152,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.123,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.123,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.214,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.049,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.189,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.198,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.234,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.047,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.365,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.168,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.334,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.051,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.25,"8","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
40.52,-75.77,-0.464,"8","United States",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Moist","Luvisols"
38,-97,-0.173,"4","United States",9,"Estimated","10.1098/rspb.2014.1396","tomato",NA,"3 year","Warm Temperate and Moist","Kastanozems"
56.48,13,-0.196,"3","Sweden",9,"Reported","10.1098/rspb.2014.1396","oat",NA,"less than 1 year","Cold and Mesic","Cambisols"
56.48,13,-0.529,"3","Sweden",9,"Reported","10.1098/rspb.2014.1396","barley",NA,"less than 1 year","Cold and Mesic","Cambisols"
41.18,36.93,-0.047,"19","Turkey",9,"Reported","10.1098/rspb.2014.1396","hazelnut",NA,"1 year","Warm Temperate and Moist","Cambisols"
37.7,-120.98,-0.21,"8","United States",9,"Reported","10.1098/rspb.2014.1396","tomato",NA,"1 year","Warm Temperate and Xeric","Cambisols"
23.04,120.31,-0.035,"3","Taiwan",9,"Reported","10.1098/rspb.2014.1396","tomato",NA,"less than 1 year","Hot and Mesic","Fluvisols"
23.18,120.25,-0.338,"3","Taiwan",9,"Reported","10.1098/rspb.2014.1396","tomato",NA,"less than 1 year","Hot and Mesic","Acrisols"
24.15,120.67,-0.626,"3","Taiwan",9,"Reported","10.1098/rspb.2014.1396","tomato",NA,"less than 1 year","Hot and Mesic","Cambisols"
38,-97,-0.164,"2","United States",9,"Estimated","10.1098/rspb.2014.1396","wheat",NA,"1 year","Warm Temperate and Moist","Kastanozems"
38,-97,-0.05,"2","United States",9,"Estimated","10.1098/rspb.2014.1396","oat",NA,"1 year","Warm Temperate and Moist","Kastanozems"
38,-97,0,"2","United States",9,"Estimated","10.1098/rspb.2014.1396","soybean",NA,"1 year","Warm Temperate and Moist","Kastanozems"
38,-97,-0.129,"2","United States",9,"Estimated","10.1098/rspb.2014.1396","maize",NA,"1 year","Warm Temperate and Moist","Kastanozems"
43.7,126.2,-0.096,"20","China",9,"Reported","10.1098/rspb.2014.1396","soybean",NA,"less than 1 year","Cool Temperate and Dry","Phaeozems"
44,-94,0.129,"6","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Dry","Phaeozems"
42,-93,-0.167,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
44,-94,0.036,"6","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Dry","Phaeozems"
44,-94,0.011,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Dry","Phaeozems"
42,-93,-0.236,"6","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-96,0.192,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Xeric","Phaeozems"
40,-89,-0.078,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
40,-89,-0.149,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
44,-94,-0.452,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Dry","Phaeozems"
42,-93,-0.005,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,-0.158,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,-0.022,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,0.297,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,-0.061,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,1.107,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
39,-93,-0.108,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Moist","Luvisols"
44,-94,-0.312,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Dry","Phaeozems"
40,-89,-0.144,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,-0.012,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,-0.514,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,-0.507,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
40,-89,-0.117,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,-0.024,"6","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,0.033,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
42,-93,0.032,"15","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Cool Temperate and Moist","Phaeozems"
38.53,-121.78,-0.311,"3","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Xeric","Luvisols"
38.53,-121.78,-0.165,"3","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Xeric","Luvisols"
38.53,-121.78,-0.575,"3","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Xeric","Luvisols"
38.53,-121.78,-0.272,"3","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Xeric","Luvisols"
38.53,-121.78,-0.418,"3","United States",9,"Reported","10.1098/rspb.2014.1396","maize",NA,"less than 1 year","Warm Temperate and Xeric","Luvisols"
